Date,Time,Transect #,Station #,CTD Cast #,SciGPS-Lat,SciGPS-Lon,EK-38kHz-DepthBelowSurface-M-VALUE,ES-50kHz-DepthBelowTransducer-M
7/29/19,10:11:25,65,65-3,205,4503.8321N,12424.6124W,296.41,306.47
7/29/19,10:25:39,65,65-3,205,4503.8190N,12424.6267W,296.21,307.24
7/29/19,11:29:13,65,65-2,206,4503.7915N,12413.4653W,143.89,151.71
7/29/19,11:38:03,65,65-2,206,4503.7845N,12413.5068W,144.27,152.23
7/29/19,12:32:33,65,65-1,207,4503.8378N,12403.3990W,50.84,58.16
7/29/19,12:37:42,65,65-1,207,4503.8349N,12403.4085W,51.15,58.59
7/30/19,2:44:29,66,66-1,208,4513.8068N,12401.7113W,53.26,59.94
7/30/19,2:51:49,66,66-1,208,4513.8064N,12401.7110W,53.68,59.63
7/30/19,4:39:04,66,66-2,209,4513.8307N,12422.9343W,375.68,386.64
7/30/19,4:50:42,66,66-2,209,4513.8353N,12422.9685W,376.39,387.17
7/30/19,6:59:57,66,66-3,210,4513.8091N,12444.4119W,579.75,590.98
7/30/19,7:17:52,66,66-3,210,4513.7624N,12444.4360W,582.4,597.73
7/30/19,8:24:32,66,66-3.5,211,4513.7607N,12454.2125W,936.79,514.9
7/30/19,9:50:36,66,66-4,212,4513.8115N,12503.7594W,1482.34,513.94
7/30/19,10:09:52,66,66-4,212,4513.7807N,12503.7981W,1483.18,0
7/30/19,11:41:29,65,65-6,213,4503.6919N,12458.7790W,1083.47,514.32
7/30/19,12:00:46,65,65-6,213,4503.6596N,12458.8442W,1095.49,0
7/30/19,12:54:10,65,65-5,214,4503.7827N,12451.7133W,665.68,681.7
7/30/19,13:11:28,65,65-5,214,4503.7910N,12451.8123W,670.44,685.58
7/31/19,4:39:33,67,67-1,215,4523.7791N,12402.4377W,55.03,62.03
7/31/19,4:45:59,67,67-1,215,4523.7532N,12402.5476W,56.37,61.65
7/31/19,5:44:25,67,67-2,216,4523.8390N,12413.0590W,151.24,159.02
7/31/19,5:53:40,67,67-2,216,4523.8336N,12413.1838W,152.49,160.4
7/31/19,7:04:32,67,67-3,217,4523.7673N,12425.3568W,304.03,313.74
7/31/19,7:16:22,67,67-3,217,4523.7757N,12425.4497W,308,317.46
7/31/19,8:51:32,67,67-4,218,4523.7911N,12442.3762W,496.88,508.75
7/31/19,9:10:41,67,67-4,218,4523.7571N,12442.3272W,495.41,507.3
7/31/19,10:04:36,67,67-5,219,4523.8927N,12449.3648W,822.59,513.6
7/31/19,10:22:25,67,67-5,219,4523.9348N,12449.3638W,822.29,398.88
7/31/19,11:21:48,67,67-6,220,4523.9114N,12456.3785W,1181.84,0
7/31/19,11:39:57,67,67-6,220,4523.8272N,12456.3847W,1181.64,0
7/31/19,12:26:03,67,67-7,221,4523.8965N,12501.6982W,1471.47,513.89
7/31/19,12:42:11,67,67-7,221,4523.8849N,12501.7259W,1480.29,656.16
8/6/19,2:08:28,,,,4447.0452N,12416.2799W,107.24,113.76
8/6/19,8:26:18,69,69-6,222,4543.8329N,12456.1697W,1464.6,513.22
8/6/19,8:45:28,69,69-6,222,4543.8157N,12456.3065W,1477.85,0
8/6/19,9:22:18,69,69-5,223,4543.8593N,12453.7615W,1090.34,513.84
8/6/19,9:40:00,69,69-5,223,4543.8714N,12453.8229W,1091.46,0
8/6/19,10:37:29,69,69-4,224,4543.8935N,12446.4686W,475.71,487.15
8/6/19,10:54:20,69,69-4,224,4543.8355N,12446.5306W,488.69,498.62
8/6/19,11:42:52,69,69-3,225,4543.3515N,12444.6647W,631.64,326.22
8/6/19,11:56:47,69,69-3,225,4543.3511N,12444.6649W,632.21,333
8/6/19,14:02:50,69,69-2,226,4543.9050N,12422.5007W,148.94,157.07
8/6/19,14:11:45,69,69-2,226,4543.8758N,12422.5282W,149.33,157.26
8/6/19,16:08:04,69,69-1,227,4543.8242N,12400.4016W,48.25,54.53
8/6/19,16:13:12,69,69-1,227,4543.7916N,12400.4138W,48.3,55.06
8/7/19,3:47:10,71,71-6,228,4603.7807N,12504.6613W,1475.77,513.5
8/7/19,4:02:33,71,71-6,228,4603.7515N,12504.7605W,1470.3,598.51
8/7/19,5:00:42,71,71-5,229,4603.8339N,12457.5027W,1254.11,512.26
8/7/19,5:17:59,71,71-5,229,4603.8255N,12457.5988W,1251.4,324.43
8/7/19,6:08:21,71,71-4,230,4603.8567N,12450.4012W,473.61,484.46
8/7/19,6:27:57,71,71-4,230,4603.8476N,12450.3583W,473.32,485.14
8/7/19,7:15:56,71,71-3,231,4603.8238N,12442.9023W,253.64,263.17
8/7/19,7:28:12,71,71-3,231,4603.7925N,12442.8697W,252.27,260.95
8/7/19,8:17:18,71,71-2,232,4603.7909N,12435.5248W,157.34,165.02
8/7/19,8:27:03,71,71-2,232,4603.7806N,12435.5535W,157.27,165.26
8/7/19,11:06:15,71,71-1,233,4603.8312N,12403.9252W,53.11,59.74
8/7/19,11:11:55,71,71-1,233,4603.8037N,12403.9781W,53.45,60.46
8/8/19,4:25:27,71,73-1,234,4623.8646N,12414.5396W,53.35,59.84
8/8/19,4:31:28,71,73-1,234,4623.8657N,12414.5384W,53.32,59.71
8/8/19,5:54:03,71,73-2,235,4623.6082N,12433.0904W,149.01,156.84
8/8/19,6:02:38,71,73-2,235,4623.5629N,12433.1711W,150.11,157.92
8/8/19,6:45:12,71,73-4,236,4623.7039N,12435.8547W,473.02,486.05
8/8/19,7:04:48,71,73-4,236,4623.6889N,12435.9398W,494.27,504.29
8/8/19,8:02:02,73,73-5,237,4623.8566N,12442.9070W,1244.96,512.26
8/8/19,8:19:04,73,73-5,237,4623.8134N,12442.9374W,1245.01,0
8/8/19,9:19:22,73,73-6,238,4623.9157N,12450.1869W,501.33,513.41
8/8/19,9:36:21,73,73-6,238,4623.9236N,12450.1934W,-0.03,636.72
8/8/19,10:29:49,73,73-7,239,4623.9699N,12457.3336W,1117.43,513.41
8/8/19,10:46:49,73,73-7,239,4624.0064N,12457.3271W,1116.61,0
8/9/19,2:35:32,75,75-7,240,4643.8385N,12514.9149W,919.89,513.22
8/9/19,2:51:16,75,75-7,240,4643.8358N,12514.9211W,919.49,0
8/9/19,3:42:17,75,75-6,241,4643.8658N,12507.6545W,870.6,512.16
8/9/19,4:38:50,75,75-6,241,4643.8823N,12500.3456W,660.32,675.77
8/9/19,4:53:06,75,75-5,242,4643.8728N,12500.3773W,660.29,675.49
8/9/19,5:07:53,75,75-5,242,4643.8440N,12500.3726W,660.81,676.25
8/9/19,5:57:31,75,75-4,243,4643.7718N,12452.9798W,528.11,540.82
8/9/19,6:12:09,75,75-4,243,4643.7323N,12453.0123W,536.74,549.31
8/9/19,6:56:44,75,75-3,244,4643.8163N,12450.6662W,330.82,340.37
8/9/19,7:10:17,75,75-3,244,4643.8019N,12450.6931W,335.14,344.88
8/9/19,8:00:05,75,75-2,245,4643.7910N,12442.7763W,155.39,162.84
8/9/19,8:08:38,75,75-2,245,4643.7958N,12442.7898W,155.35,163.24
8/9/19,10:18:37,75,75-1,246,4643.8419N,12416.2743W,50.73,57.56
8/9/19,10:27:10,75,75-1,246,4643.8442N,12416.2607W,50.78,57.57
8/10/19,5:47:17,77,77-1,247,4703.7953N,12423.7879W,53.05,59.23
8/10/19,5:51:35,77,77-1,247,4703.8068N,12423.8030W,53.06,59.52
8/10/19,7:43:58,77,77-2,248,4703.8350N,12452.2358W,153.87,161.47
8/10/19,7:53:30,77,77-2,248,4703.8354N,12452.2593W,153.91,161.57
8/10/19,8:36:50,77,77-4,249,4703.8388N,12458.0039W,621.65,632.26
8/10/19,8:57:59,77,77-4,249,4703.8676N,12458.0429W,600.8,612.48
8/10/19,9:50:17,77,77-5,250,4703.8822N,12505.2552W,1422.43,512.45
8/10/19,10:08:30,77,77-5,250,4703.9014N,12505.3222W,1422.83,0
8/10/19,10:58:59,77,77-6,251,4703.8652N,12512.9460W,484.9,513.98
8/10/19,11:16:00,77,77-6,251,4703.7889N,12513.1192W,13.72,0
8/11/19,2:35:45,79,79-8,252,4723.8300N,12518.5764W,1445.6,511.3
8/11/19,2:51:33,79,79-8,252,4723.8300N,12518.5765W,1445.53,0
8/11/19,3:42:37,79,79-7,253,4723.8292N,12511.3191W,699.6,714.97
8/11/19,3:57:08,79,79-7,253,4723.7793N,12511.2614W,706.32,722.2
8/11/19,5:05:17,79,79-6,254,4723.8116N,12503.9177W,1261.53,512.11
8/11/19,5:21:11,79,79-6,254,4723.8227N,12503.9124W,1259.93,0
8/11/19,6:11:34,79,79-5,255,4723.8526N,12456.5003W,1130.45,513.46
8/11/19,6:26:13,79,79-5,255,4723.8471N,12456.5339W,1120.27,0
8/11/19,7:19:50,79,79-4,256,4723.7601N,12449.2945W,468.39,465.79
8/11/19,7:35:24,79,79-4,256,4723.7588N,12449.3038W,474.65,484.18
8/11/19,8:04:36,79,79-2,257,4723.8587N,12446.4327W,144.85,152.11
8/11/19,8:13:34,79,79-2,257,4723.8445N,12446.4334W,145.02,152.5
8/11/19,9:26:37,79,79-1,258,4723.9017N,12432.3802W,52.26,58.99
8/11/19,9:32:11,79,79-1,258,4723.9032N,12432.3847W,52.23,58.85
8/12/19,5:04:28,80,80-1,259,4733.8036N,12436.1036W,52.51,58.9
8/12/19,5:08:55,80,80-1,259,4733.8031N,12436.0857W,52.32,58.69
8/12/19,6:50:29,80,80-2,260,4733.8034N,12458.3079W,183.94,192.21
8/12/19,7:00:23,80,80-2,260,4733.7922N,12458.3104W,184.07,192.47
8/12/19,8:44:22,80,80-3,261,4733.7722N,12520.5924W,907.24,514.42
8/12/19,9:03:03,80,80-3,261,4733.7281N,12520.6696W,911.47,0
8/13/19,3:03:17,78,78-0,262,4713.8477N,12454.4731W,583.43,597.89
8/13/19,3:21:30,78,78-0,262,4713.8479N,12454.4731W,583.88,597.98
8/13/19,4:56:04,77,77-0,263,4703.8155N,12458.0686W,637.94,652.32
8/13/19,5:10:39,77,77-0,263,4703.8151N,12458.0689W,636.31,650.93
8/14/19,2:37:50,81,81-1,264,4743.7720N,12440.8231W,53.73,60.32
8/14/19,2:42:01,81,81-1,264,4743.7721N,12440.8226W,53.72,59.21
8/14/19,4:12:12,81,81-2,265,4743.8387N,12501.4037W,155.82,164.02
8/14/19,4:18:38,81,81-2,265,4743.8277N,12501.4179W,156,163.49
8/14/19,5:03:46,81,81-3,266,4743.8460N,12506.1140W,397.76,408.96
8/14/19,5:13:06,81,81-3,266,4743.8426N,12506.1463W,401.25,411.02
8/14/19,6:52:50,81,81-5,267,4743.8656N,12514.8318W,782.83,514.75
8/14/19,7:11:07,81,81-5,267,4743.8843N,12514.8265W,781.56,0
8/14/19,8:33:25,81,81-7,268,4743.8113N,12529.4878W,978.45,0
8/14/19,8:52:11,81,81-7,268,4743.7668N,12529.4745W,980.01,0
8/14/19,8:52:45,81,81-7,268,4743.7696N,12529.4798W,979.96,0
8/14/19,10:11:55,81,81-9,269,4743.9398N,12544.5533W,1121.42,514.37
8/14/19,10:30:47,81,81-9,269,4744.0053N,12544.6224W,1125.14,0
8/15/19,6:28:23,83,83-10,270,4803.8048N,12556.3288W,986.45,515.33
8/15/19,6:45:46,83,83-10,270,4803.8073N,12556.4184W,996.12,0
8/15/19,7:40:45,83,83-9,271,4803.8149N,12548.7250W,729.86,0
8/15/19,7:57:19,83,83-9,271,4803.8174N,12548.7803W,726.07,741.4
8/15/19,9:18:08,83,83-8,272,4803.7669N,12541.3453W,561.17,567.94
8/15/19,9:18:11,83,83-8,272,4803.7670N,12541.3456W,562.1,568.7
8/15/19,10:12:58,83,83-7,273,4803.8119N,12536.4712W,322.69,331.54
8/15/19,10:27:49,83,83-7,273,4803.8380N,12536.4723W,324,334.9
8/15/19,11:11:24,83,83-6,274,4803.8602N,12530.6153W,151.34,159.14
8/15/19,11:19:59,83,83-6,274,4803.8435N,12530.5917W,151.01,158.42
8/15/19,12:05:15,83,83-5,275,4803.8853N,12523.2157W,137.33,145.12
8/15/19,12:15:00,83,83-5,275,4803.8839N,12523.2078W,137.32,144.81
8/16/19,7:30:48,85,85-15,276,4823.5843N,12625.7865W,1244.56,0
8/16/19,7:50:22,85,85-15,276,4823.4746N,12625.9628W,1256.44,0
8/16/19,9:22:12,85,85-14,277,4823.6812N,12618.0136W,1109.99,704.78
8/16/19,9:39:36,85,85-14,277,4823.6101N,12618.1857W,1124.12,0
8/16/19,10:47:41,85,85-13,278,4823.7918N,12614.4609W,940.01,0
8/16/19,11:06:13,85,85-13,278,4823.7030N,12614.6595W,938.87,0
8/16/19,13:24:53,85,85-11,279,4823.7167N,12558.7772W,335.97,347.1
8/16/19,13:41:24,85,85-11,279,4823.6474N,12558.8996W,309.18,321.07
8/17/19,7:07:11,85,85-1,280,4823.9288N,12446.6949W,147.87,155.42
8/17/19,7:16:06,85,85-1,280,4823.9707N,12446.7016W,150.5,156.8
8/17/19,8:15:12,85,85-3,281,4823.9021N,12457.3500W,257.55,266.98
8/17/19,8:28:07,85,85-3,281,4823.9204N,12457.3456W,260,268.95
8/17/19,9:46:26,85,85-5,282,4823.8400N,12512.1754W,177.24,185.09
8/17/19,9:57:26,85,85-5,282,4823.8390N,12512.1748W,177.1,184.83
8/17/19,11:56:26,85,85-8,283,4823.6765N,12534.6825W,134.57,142.06
8/17/19,12:03:52,85,85-8,283,4823.6511N,12534.7553W,133.21,141.34
8/18/19,8:25:47,86,86-4,284,4833.8342N,12547.7181W,80.46,87.59
8/18/19,8:30:48,86,86-4,284,4833.8478N,12547.7158W,80.26,87.31
8/18/19,10:17:57,86,86-5,285,4833.8124N,12610.3758W,353.24,364.18
8/18/19,10:27:25,86,86-5,285,4833.8115N,12610.3756W,353.43,362.83
8/18/19,12:20:37,86,86-6,286,4833.8146N,12633.0039W,1382.96,512.98
8/19/19,0:03:25,85,85-0,287,4823.8817N,12528.3910W,129.99,137.22
8/19/19,0:13:46,85,85-0,287,4823.8818N,12528.3907W,130.2,137
8/19/19,1:40:13,84,84-2,288,4813.8612N,12513.8489W,127.72,137.51
8/19/19,1:46:56,84,84-2,288,4813.8492N,12513.8340W,127.93,134.92
8/19/19,3:31:10,84,84-3,289,4813.7792N,12536.2188W,190.24,198.77
8/19/19,3:39:06,84,84-3,289,4813.7787N,12536.2197W,189.86,199.06
8/19/19,5:40:11,84,84-4,290,4813.8241N,12558.7019W,666.79,682.77
8/19/19,5:54:51,84,84-4,290,4813.8238N,12558.6995W,666.47,681.02
8/19/19,8:34:12,84,84-5,291,4813.8325N,12621.0088W,501.32,512.88
