Date UTC,Tube #,CTD cast,Niskin,depth,comments.sampling,drop.sample,field.negative.type,extraction,comments.extraction,qubit.ng.ul,water.filtered.L,elution (ul),Zymo columns
7/3/19,15,23-1,3,25,About 2 ml of sample 14 got into this filter cup,,,12/30/19,"dark pellet, Extraction batch 1-15 with 12/30/19 ext neg#6",,2.5,100,Yes
7/3/19,16,23-1,4,25,Only ~2L,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #2,,2,100,Yes
7/3/19,17,23-1,sfc,sfc,line not flushed,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #3,,2.5,100,Yes
7/3/19,18,23-1,sfc,sfc,line not flushed,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #4,,2.5,100,Yes
7/3/19,19,-,-,-,"Evap DI water, ~2L",,Evap.DI,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #5,,2,100,
7/3/19,20,-,-,-,Lab DI water,,Lab.DI,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #6,,2,100,
7/3/19,21,25-6,1,500,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #7,,2.5,100,
7/3/19,22,25-6,2,500,"Low flow out of Niskin, unclear why, but fully sealed, not thought to be contaminated with full water column",,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #8,,2.5,100,
7/3/19,23,25-6,3,300,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #9,,2.5,100,
7/3/19,24,25-6,4,300,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #10,,2.5,100,
7/3/19,25,25-6,6,150,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #11,,2.5,100,
7/3/19,26,25-6,7,100,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #12,,2.5,100,
7/3/19,27,25-6,8,100,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #13,,2.5,100,
7/3/19,28,25-6,9,50,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #14,,2.5,100,
7/3/19,29,25-6,10,50,,,,12/30/19,extraction batch 16-30 with 12/30/19 ext neg #15,,2.5,100,Yes
7/3/19,30,25-6,sfc,sfc,line not flushed,,,12/30/19,Phenol step the grease failed. extraction batch 16-30 with 12/30/19 ext neg #15,,2.5,100,
7/3/19,31,25-6,sfc,sfc,line not flushed,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,Yes
7/3/19,32,25-4,1,495,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,33,25-4,2,495,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,34,25-4,3,300,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,35,25-4,4,300,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,36,25-4,5,150,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,37,25-4,6,150,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,38,25-4,7,100,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,39,25-4,8,100,,,,1/2/20,"No visible pellet. Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,40,25-4,9,50,,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
7/3/19,41,25-4,10,50,,,,1/2/20,"Extraction batch 31-46, extraction neg for day not extracted in this batch",,2.5,100,
