qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul
H6,D7,1926,unknowns,UNKNOWN,26.366,0.051,YES,,1,30.496,23.687
H6,D8,1926,unknowns,UNKNOWN,26.442,0.126,YES,,1,30.369,25.859
H6,D9,1926,unknowns,UNKNOWN,26.327,0.012,YES,,1,30.402,25.277
H7,A7,68,unknowns,UNKNOWN,26.455,-0.159,,,1,32.926,3.699
H7,A8,68,unknowns,UNKNOWN,26.518,-0.096,,,1,32.89,3.797
H7,A9,68,unknowns,UNKNOWN,26.541,-0.073,,,1,32.171,6.342
H7,B7,69,unknowns,UNKNOWN,26.512,-0.102,,,1,35.641,0.532
H7,B8,69,unknowns,UNKNOWN,26.603,-0.011,,,1,Undetermined,
H7,B9,69,unknowns,UNKNOWN,26.567,-0.047,,,1,Undetermined,
H7,C7,70,unknowns,UNKNOWN,26.584,-0.03,,,1,33.212,3.016
H7,C8,70,unknowns,UNKNOWN,26.64,0.026,,,1,32.986,3.546
H7,C9,70,unknowns,UNKNOWN,26.617,0.003,,,1,33.684,2.154
H7,D7,71,unknowns,UNKNOWN,26.618,0.004,,,1,36.24,0.347
H7,D8,71,unknowns,UNKNOWN,26.787,0.173,,,1,37.3,0.163
H7,D9,71,unknowns,UNKNOWN,26.714,0.1,,,1,34.922,0.89
H7,E7,82,unknowns,UNKNOWN,26.778,0.164,,,1,35.613,0.543
H7,E8,82,unknowns,UNKNOWN,26.9,0.286,,,1,35.815,0.47
H7,E9,82,unknowns,UNKNOWN,26.703,0.089,,,1,35.876,0.45
H7,F7,83,unknowns,UNKNOWN,26.845,0.231,,,1,Undetermined,
H7,F8,83,unknowns,UNKNOWN,26.837,0.223,,,1,36.016,0.407
H7,F9,83,unknowns,UNKNOWN,26.54,-0.074,,,1,38.024,0.097
H7,G7,320,unknowns,UNKNOWN,27.074,0.46,NO,,1,36.051,0.397
H7,G8,320,unknowns,UNKNOWN,27.44,0.826,NO,,1,35.102,0.782
H7,G9,320,unknowns,UNKNOWN,27.097,0.483,NO,,1,37.132,0.184
