qPCR,well,sample,type,task,IPC_Ct,inhibition_rate,useful,Zymo,dilution,hake_Ct,hake_copies_ul
H13,I8,449,unknowns,UNKNOWN,26.1,-0.021,,,1,34.22,2.645
H13,I9,449,unknowns,UNKNOWN,26.465,0.344,,,1,34.275,2.543
H13,I10,457,unknowns,UNKNOWN,26.396,0.276,,,1,31.705,16.163
H13,I11,457,unknowns,UNKNOWN,26.628,0.508,,,1,31.539,18.215
H13,I12,457,unknowns,UNKNOWN,26.387,0.267,,,1,31.217,22.97
H13,I13,465,unknowns,UNKNOWN,26.277,0.156,,,1,29.267,93.413
H13,I14,465,unknowns,UNKNOWN,26.443,0.323,,,1,28.994,113.736
H13,I15,465,unknowns,UNKNOWN,26.375,0.255,,,1,29.058,108.568
H13,I16,473,unknowns,UNKNOWN,26.035,-0.086,,,1,32.975,6.482
H13,I17,473,unknowns,UNKNOWN,26.247,0.127,,,1,32.733,7.714
H13,I18,473,unknowns,UNKNOWN,26.314,0.194,,,1,32.632,8.292
H13,J1,434,unknowns,UNKNOWN,25.951,-0.17,,,1,32.84,7.14
H13,J2,434,unknowns,UNKNOWN,26.065,-0.056,,,1,32.329,10.314
H13,J3,434,unknowns,UNKNOWN,26.042,-0.079,,,1,32.258,10.855
H13,J4,442,unknowns,UNKNOWN,37.762,11.642,NO,,1,Undetermined,
H13,J5,442,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,J6,442,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,J7,450,unknowns,UNKNOWN,26.259,0.139,,,1,34.879,1.647
H13,J8,450,unknowns,UNKNOWN,26.275,0.155,,,1,34.155,2.772
H13,J9,450,unknowns,UNKNOWN,26.211,0.091,,,1,33.637,4.024
H13,J10,458,unknowns,UNKNOWN,26.506,0.386,,,1,30.272,45.333
H13,J11,458,unknowns,UNKNOWN,26.424,0.303,,,1,30.158,49.192
H13,J12,458,unknowns,UNKNOWN,26.602,0.481,,,1,30.195,47.917
H13,J13,466,unknowns,UNKNOWN,26.428,0.307,,,1,30.018,54.414
H13,J14,466,unknowns,UNKNOWN,26.132,0.012,,,1,30.109,50.968
H13,J15,466,unknowns,UNKNOWN,26.324,0.204,,,1,30.005,54.952
H13,J16,474,unknowns,UNKNOWN,26.295,0.174,,,1,30.834,30.257
H13,J17,474,unknowns,UNKNOWN,26.227,0.107,,,1,30.7,33.304
H13,J18,474,unknowns,UNKNOWN,26.266,0.146,,,1,30.418,40.805
H13,K1,435,unknowns,UNKNOWN,26.182,0.061,,,1,32.544,8.836
H13,K2,435,unknowns,UNKNOWN,26.052,-0.069,,,1,33.04,6.186
H13,K3,435,unknowns,UNKNOWN,26.217,0.097,,,1,33.029,6.235
H13,K4,443,unknowns,UNKNOWN,26.125,0.005,,,1,35.315,1.203
H13,K5,443,unknowns,UNKNOWN,26.235,0.114,,,1,34.84,1.693
H13,K6,443,unknowns,UNKNOWN,26.141,0.02,,,1,34.198,2.688
H13,K7,451,unknowns,UNKNOWN,26.35,0.23,,,1,34.356,2.398
H13,K8,451,unknowns,UNKNOWN,26.278,0.157,,,1,37.168,0.317
H13,K9,451,unknowns,UNKNOWN,26.251,0.13,,,1,35.227,1.281
H13,K10,459,unknowns,UNKNOWN,26.395,0.275,,,1,32.385,9.908
H13,K11,459,unknowns,UNKNOWN,26.487,0.366,,,1,32.342,10.223
H13,K12,459,unknowns,UNKNOWN,26.489,0.369,,,1,31.893,14.122
H13,K13,467,unknowns,UNKNOWN,26.318,0.198,,,1,30,55.137
H13,K14,467,unknowns,UNKNOWN,26.413,0.293,,,1,29.664,70.234
H13,K15,467,unknowns,UNKNOWN,26.588,0.468,,,1,29.553,76.037
H13,K16,475,unknowns,UNKNOWN,26.374,0.254,,,1,31.037,26.139
H13,K17,475,unknowns,UNKNOWN,26.345,0.225,,,1,31.621,17.175
H13,K18,475,unknowns,UNKNOWN,26.302,0.182,,,1,31.297,21.686
H13,L1,436,unknowns,UNKNOWN,25.997,-0.124,,,1,31.947,13.584
H13,L2,436,unknowns,UNKNOWN,26.294,0.173,,,1,32.302,10.522
H13,L3,436,unknowns,UNKNOWN,26.116,-0.004,,,1,32.603,8.47
H13,L4,444,unknowns,UNKNOWN,26.105,-0.016,,,1,37.594,0.233
H13,L5,444,unknowns,UNKNOWN,26.199,0.078,,,1,35.277,1.236
H13,L6,444,unknowns,UNKNOWN,26.23,0.109,,,1,36.78,0.419
H13,L7,452,unknowns,UNKNOWN,26.244,0.124,,,1,34.063,2.962
H13,L8,452,unknowns,UNKNOWN,26.34,0.219,,,1,33.456,4.585
H13,L9,452,unknowns,UNKNOWN,26.394,0.273,,,1,33.594,4.15
H13,L10,460,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,L11,460,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,L12,460,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,L13,468,unknowns,UNKNOWN,26.171,0.051,,,1,27.825,263.776
H13,L14,468,unknowns,UNKNOWN,26.185,0.065,,,1,27.532,325.76
H13,L15,468,unknowns,UNKNOWN,26.191,0.07,,,1,27.156,426.704
H13,L16,476,unknowns,UNKNOWN,26.472,0.351,,,1,32.439,9.53
H13,L17,476,unknowns,UNKNOWN,26.341,0.221,,,1,32.586,8.572
H13,L18,476,unknowns,UNKNOWN,26.208,0.088,,,1,31.998,13.093
H13,M1,437,unknowns,UNKNOWN,26.001,-0.12,,,1,31.239,22.602
H13,M2,437,unknowns,UNKNOWN,26.164,0.043,,,1,31.631,17.053
H13,M3,437,unknowns,UNKNOWN,26.107,-0.013,,,1,31.823,14.849
H13,M4,445,unknowns,UNKNOWN,26.049,-0.071,,,1,32.887,6.902
H13,M5,445,unknowns,UNKNOWN,26.121,0.001,,,1,32.266,10.797
H13,M6,445,unknowns,UNKNOWN,26.128,0.008,,,1,32.803,7.333
H13,M7,453,unknowns,UNKNOWN,26.277,0.156,NO,,1,39.741,0.05
H13,M8,453,unknowns,UNKNOWN,26.925,0.805,NO,,1,39.461,0.061
H13,M9,453,unknowns,UNKNOWN,26.886,0.766,NO,,1,37.806,0.2
H13,M10,461,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,M11,461,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,M12,461,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,M13,469,unknowns,UNKNOWN,26.252,0.131,,,1,31.272,22.071
H13,M14,469,unknowns,UNKNOWN,26.329,0.208,,,1,31.229,22.765
H13,M15,469,unknowns,UNKNOWN,26.314,0.193,,,1,31.525,18.404
H13,M16,477,unknowns,UNKNOWN,26.254,0.134,,,1,33.26,5.278
H13,M17,477,unknowns,UNKNOWN,26.179,0.059,,,1,33.279,5.207
H13,M18,477,unknowns,UNKNOWN,26.29,0.169,,,1,32.866,7.01
H13,N1,438,unknowns,UNKNOWN,26.09,-0.03,,,1,32.39,9.871
H13,N2,438,unknowns,UNKNOWN,26.061,-0.06,,,1,32.982,6.447
H13,N3,438,unknowns,UNKNOWN,26.163,0.043,,,1,32.758,7.574
H13,N4,446,unknowns,UNKNOWN,26.047,-0.073,,,1,34.94,1.576
H13,N5,446,unknowns,UNKNOWN,25.917,-0.204,,,1,33.741,3.733
H13,N6,446,unknowns,UNKNOWN,26.005,-0.115,,,1,33.304,5.113
H13,N7,454,unknowns,UNKNOWN,26.422,0.302,,,1,37.084,0.337
H13,N8,454,unknowns,UNKNOWN,26.538,0.418,,,1,36.317,0.585
H13,N9,454,unknowns,UNKNOWN,26.799,0.679,,,1,38.698,0.105
H13,N10,462,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,N11,462,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,N12,462,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,N13,470,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,N14,470,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,N15,470,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,N16,478,unknowns,UNKNOWN,26.322,0.202,,,1,32.706,7.866
H13,N17,478,unknowns,UNKNOWN,26.212,0.091,,,1,31.852,14.536
H13,N18,478,unknowns,UNKNOWN,26.311,0.19,,,1,32.449,9.464
H13,O1,439,unknowns,UNKNOWN,26.017,-0.104,,,1,35.316,1.202
H13,O2,439,unknowns,UNKNOWN,26.156,0.036,,,1,34.112,2.859
H13,O3,439,unknowns,UNKNOWN,25.872,-0.248,,,1,35.33,1.19
H13,O4,447,unknowns,UNKNOWN,25.997,-0.124,,,1,32.409,9.741
H13,O5,447,unknowns,UNKNOWN,26.022,-0.098,,,1,32.743,7.66
H13,O6,447,unknowns,UNKNOWN,26.01,-0.11,,,1,32.891,6.884
H13,O7,455,field_neg,UNKNOWN,26.059,-0.062,,,1,Undetermined,
H13,O8,455,field_neg,UNKNOWN,25.987,-0.134,,,1,36.561,0.491
H13,O9,455,field_neg,UNKNOWN,25.96,-0.161,,,1,35.242,1.268
H13,O10,463,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,O11,463,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,O12,463,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,O13,471,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,O14,471,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,O15,471,unknowns,UNKNOWN,45,18.879,NO,,1,Undetermined,
H13,O16,479,unknowns,UNKNOWN,26.199,0.078,,,1,31.26,22.272
H13,O17,479,unknowns,UNKNOWN,26.235,0.115,,,1,31.183,23.525
H13,O18,479,unknowns,UNKNOWN,26.123,0.003,,,1,31.162,23.887
H13,P1,440,unknowns,UNKNOWN,25.951,-0.169,,,1,33.025,6.253
H13,P2,440,unknowns,UNKNOWN,25.872,-0.248,,,1,32.541,8.857
H13,P3,440,unknowns,UNKNOWN,25.757,-0.364,,,1,31.953,13.52
H13,P4,448,unknowns,UNKNOWN,25.859,-0.261,,,1,33.549,4.287
H13,P5,448,unknowns,UNKNOWN,25.842,-0.279,,,1,33.565,4.238
H13,P6,448,unknowns,UNKNOWN,25.84,-0.28,,,1,33.242,5.349
H13,P7,456,unknowns,UNKNOWN,26.936,0.816,NO,,1,32.979,6.463
H13,P8,456,unknowns,UNKNOWN,27.814,1.694,NO,,1,33.292,5.159
H13,P9,456,unknowns,UNKNOWN,28.548,2.428,NO,,1,33.893,3.347
H13,P10,464,unknowns,UNKNOWN,26.163,0.042,,,1,28.949,117.423
H13,P11,464,unknowns,UNKNOWN,26.201,0.08,,,1,28.885,123.023
H13,P12,464,unknowns,UNKNOWN,26.38,0.259,,,1,29.142,102.252
H13,P13,472,unknowns,UNKNOWN,26.287,0.167,,,1,31.886,14.186
H13,P14,472,unknowns,UNKNOWN,26.153,0.033,,,1,32.524,8.963
H13,P15,472,unknowns,UNKNOWN,26.454,0.334,,,1,32.774,7.49
H13,P16,480,unknowns,UNKNOWN,26.199,0.079,,,1,31.951,13.537
H13,P17,480,unknowns,UNKNOWN,26.161,0.04,,,1,31.571,17.8
H13,P18,480,unknowns,UNKNOWN,26.301,0.181,,,1,31.755,15.589
H14,A4,481,unknowns,UNKNOWN,26.322,-0.008,,,1,32.801,9.377
H14,A5,481,unknowns,UNKNOWN,26.226,-0.104,,,1,31.94,16.826
H14,A6,481,unknowns,UNKNOWN,26.338,0.008,,,1,31.732,19.382
H14,A7,489,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,A8,489,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,A9,489,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,A10,497,unknowns,UNKNOWN,26.132,-0.198,,,1,32.191,14.19
H14,A11,497,unknowns,UNKNOWN,26.222,-0.108,,,1,31.667,20.255
H14,A12,497,unknowns,UNKNOWN,26.16,-0.171,,,1,31.131,29.144
H14,A13,505,unknowns,UNKNOWN,26.233,-0.097,,,1,32.211,14.002
H14,A14,505,unknowns,UNKNOWN,26.298,-0.033,,,1,31.913,17.137
H14,A15,505,unknowns,UNKNOWN,26.219,-0.112,,,1,31.682,20.044
H14,A16,513,unknowns,UNKNOWN,26.471,0.141,NO,,1,34.991,2.121
H14,A17,513,unknowns,UNKNOWN,27.076,0.745,NO,,1,35.836,1.195
H14,A18,513,unknowns,UNKNOWN,27.586,1.256,NO,,1,36.178,0.948
H14,A19,521,unknowns,UNKNOWN,26.227,-0.103,,,1,33.09,7.708
H14,A20,521,unknowns,UNKNOWN,26.296,-0.034,,,1,33.095,7.685
H14,A21,521,unknowns,UNKNOWN,26.375,0.045,,,1,33.358,6.428
H14,A22,ntc,ntc,NTC,26.273,-0.057,,,1,Undetermined,
H14,A23,ntc,ntc,NTC,26.264,-0.066,,,1,Undetermined,
H14,A24,ntc,ntc,NTC,26.313,-0.017,,,1,Undetermined,
H14,B4,482,unknowns,UNKNOWN,26.356,0.026,,,1,29.093,116.202
H14,B5,482,unknowns,UNKNOWN,26.226,-0.104,,,1,29.065,118.405
H14,B6,482,unknowns,UNKNOWN,26.368,0.038,,,1,28.888,133.599
H14,B7,490,unknowns,UNKNOWN,26.245,-0.085,,,1,33.104,7.634
H14,B8,490,unknowns,UNKNOWN,26.205,-0.126,,,1,32.995,8.222
H14,B9,490,unknowns,UNKNOWN,26.382,0.051,,,1,33.364,6.401
H14,B10,498,unknowns,UNKNOWN,26.484,0.153,,,1,30.58,42.358
H14,B11,498,unknowns,UNKNOWN,26.585,0.254,,,1,30.784,36.882
H14,B12,498,unknowns,UNKNOWN,26.493,0.162,,,1,30.29,51.585
H14,B13,506,unknowns,UNKNOWN,26.254,-0.076,,,1,31.168,28.408
H14,B14,506,unknowns,UNKNOWN,26.355,0.024,,,1,31.194,27.912
H14,B15,506,unknowns,UNKNOWN,26.346,0.016,,,1,31.345,25.197
H14,B16,514,field_neg,UNKNOWN,26.387,0.056,,,1,42.865,0.01
H14,B17,514,field_neg,UNKNOWN,26.304,-0.027,,,1,36.943,0.564
H14,B18,514,field_neg,UNKNOWN,26.369,0.038,,,1,Undetermined,
H14,B19,522,unknowns,UNKNOWN,26.391,0.061,,,1,30.795,36.592
H14,B20,522,unknowns,UNKNOWN,26.308,-0.022,,,1,31.403,24.223
H14,B21,522,unknowns,UNKNOWN,26.352,0.021,,,1,30.367,48.953
H14,B22,ntc,ntc,NTC,26.334,0.004,,,1,Undetermined,
H14,B23,ntc,ntc,NTC,26.333,0.002,,,1,Undetermined,
H14,B24,ntc,ntc,NTC,26.21,-0.12,,,1,Undetermined,
H14,C4,483,unknowns,UNKNOWN,26.33,-0.001,,,1,31.147,28.825
H14,C5,483,unknowns,UNKNOWN,26.332,0.001,,,1,30.565,42.793
H14,C6,483,unknowns,UNKNOWN,26.434,0.104,,,1,30.629,40.962
H14,C7,491,unknowns,UNKNOWN,26.284,-0.047,,,1,33.493,5.864
H14,C8,491,unknowns,UNKNOWN,26.445,0.114,,,1,34.374,3.226
H14,C9,491,unknowns,UNKNOWN,26.262,-0.068,,,1,33.656,5.251
H14,C10,499,unknowns,UNKNOWN,26.406,0.076,,,1,28.737,147.991
H14,C11,499,unknowns,UNKNOWN,26.645,0.314,,,1,28.631,158.992
H14,C12,499,unknowns,UNKNOWN,26.477,0.146,,,1,28.488,175.243
H14,C13,507,unknowns,UNKNOWN,26.244,-0.086,,,1,30.977,32.353
H14,C14,507,unknowns,UNKNOWN,26.293,-0.038,,,1,30.549,43.261
H14,C15,507,unknowns,UNKNOWN,26.308,-0.022,,,1,30.815,36.116
H14,C16,515,unknowns,UNKNOWN,26.297,-0.034,,,1,36.794,0.624
H14,C17,515,unknowns,UNKNOWN,26.326,-0.004,,,1,36.782,0.629
H14,C18,515,unknowns,UNKNOWN,26.445,0.115,,,1,33.922,4.381
H14,C19,523,unknowns,UNKNOWN,26.364,0.034,,,1,29.792,72.307
H14,C20,523,unknowns,UNKNOWN,26.413,0.083,,,1,29.315,99.944
H14,C21,523,unknowns,UNKNOWN,26.37,0.039,,,1,29.142,112.387
H14,C22,ntc,ntc,NTC,26.527,0.197,,,1,Undetermined,
H14,C23,ntc,ntc,NTC,26.287,-0.043,,,1,Undetermined,
H14,C24,ntc,ntc,NTC,26.43,0.1,,,1,Undetermined,
H14,D4,484,unknowns,UNKNOWN,26.602,0.272,,,1,29.17,110.313
H14,D5,484,unknowns,UNKNOWN,26.403,0.072,,,1,29.055,119.25
H14,D6,484,unknowns,UNKNOWN,26.465,0.135,,,1,28.753,146.382
H14,D7,492,unknowns,UNKNOWN,26.372,0.041,,,1,32.598,10.768
H14,D8,492,unknowns,UNKNOWN,26.292,-0.039,,,1,33.256,6.889
H14,D9,492,unknowns,UNKNOWN,26.219,-0.111,,,1,33.539,5.684
H14,D10,500,unknowns,UNKNOWN,37.24,10.91,NO,,1,Undetermined,
H14,D11,500,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,D12,500,unknowns,UNKNOWN,43.588,17.258,NO,,1,43.63,0.006
H14,D13,508,unknowns,UNKNOWN,26.503,0.173,,,1,32.48,11.664
H14,D14,508,unknowns,UNKNOWN,26.506,0.176,,,1,32.602,10.739
H14,D15,508,unknowns,UNKNOWN,26.393,0.063,,,1,31.64,20.626
H14,D16,516,unknowns,UNKNOWN,26.466,0.136,,,1,33.306,6.659
H14,D17,516,unknowns,UNKNOWN,26.475,0.145,,,1,33.522,5.75
H14,D18,516,unknowns,UNKNOWN,26.245,-0.085,,,1,33.796,4.773
H14,D19,524,unknowns,UNKNOWN,26.386,0.056,,,1,26.983,486.581
H14,D20,524,unknowns,UNKNOWN,26.301,-0.029,,,1,26.972,490.274
H14,D21,524,unknowns,UNKNOWN,26.342,0.012,,,1,26.676,599.482
H14,E4,485,unknowns,UNKNOWN,26.47,0.14,,,1,29.783,72.77
H14,E5,485,unknowns,UNKNOWN,26.431,0.1,,,1,29.379,95.674
H14,E6,485,unknowns,UNKNOWN,26.568,0.238,,,1,29.504,87.915
H14,E7,493,unknowns,UNKNOWN,26.42,0.09,,,1,33.044,7.951
H14,E8,493,unknowns,UNKNOWN,26.535,0.205,,,1,32.315,13.049
H14,E9,493,unknowns,UNKNOWN,26.451,0.121,,,1,32.546,11.153
H14,E10,501,unknowns,UNKNOWN,37.98,11.649,NO,,1,Undetermined,
H14,E11,501,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,E12,501,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,E13,509,unknowns,UNKNOWN,26.482,0.152,,,1,33.429,6.123
H14,E14,509,unknowns,UNKNOWN,26.393,0.063,,,1,32.397,12.341
H14,E15,509,unknowns,UNKNOWN,26.292,-0.038,,,1,32.293,13.24
H14,E16,517,unknowns,UNKNOWN,24.754,-1.577,,,1,32.211,13.998
H14,E17,517,unknowns,UNKNOWN,26.612,0.282,,,1,33.935,4.343
H14,E18,517,unknowns,UNKNOWN,26.553,0.222,,,1,34.124,3.82
H14,E19,525,unknowns,UNKNOWN,28.864,2.534,NO,,1,38.565,0.188
H14,E20,525,unknowns,UNKNOWN,31.37,5.04,NO,,1,Undetermined,
H14,E21,525,unknowns,UNKNOWN,32.422,6.092,NO,,1,43.934,0.005
H14,F4,486,unknowns,UNKNOWN,26.616,0.285,,,1,31.112,29.507
H14,F5,486,unknowns,UNKNOWN,26.649,0.319,,,1,31.528,22.262
H14,F6,486,unknowns,UNKNOWN,26.628,0.298,,,1,31.314,25.731
H14,F7,494,unknowns,UNKNOWN,26.474,0.143,,,1,30.077,59.601
H14,F8,494,unknowns,UNKNOWN,26.343,0.013,,,1,30.015,62.146
H14,F9,494,unknowns,UNKNOWN,26.414,0.083,,,1,29.876,68.284
H14,F10,502,unknowns,UNKNOWN,26.48,0.149,,,1,32.077,15.328
H14,F11,502,unknowns,UNKNOWN,26.154,-0.177,,,1,31.809,18.397
H14,F12,502,unknowns,UNKNOWN,26.483,0.153,,,1,32.365,12.607
H14,F13,510,unknowns,UNKNOWN,27.001,0.671,,,1,33.072,7.802
H14,F14,510,unknowns,UNKNOWN,26.616,0.286,,,1,33.247,6.931
H14,F15,510,unknowns,UNKNOWN,24.949,-1.381,,,1,31.616,20.959
H14,F16,518,unknowns,UNKNOWN,26.393,0.063,,,1,34.369,3.235
H14,F17,518,unknowns,UNKNOWN,26.467,0.136,,,1,37.074,0.516
H14,F18,518,unknowns,UNKNOWN,26.489,0.158,,,1,36.201,0.933
H14,F19,526,unknowns,UNKNOWN,31.357,5.027,NO,,1,Undetermined,
H14,F20,526,unknowns,UNKNOWN,33.519,7.189,NO,,1,Undetermined,
H14,F21,526,unknowns,UNKNOWN,33.276,6.946,NO,,1,Undetermined,
H14,G4,487,unknowns,UNKNOWN,26.665,0.334,,,1,30.195,54.99
H14,G5,487,unknowns,UNKNOWN,26.587,0.257,,,1,30.375,48.667
H14,G6,487,unknowns,UNKNOWN,26.836,0.506,,,1,30.454,46.121
H14,G7,495,unknowns,UNKNOWN,26.44,0.11,,,1,32.286,13.3
H14,G8,495,unknowns,UNKNOWN,26.406,0.076,,,1,31.958,16.622
H14,G9,495,unknowns,UNKNOWN,25.722,-0.608,,,1,31.296,26.05
H14,G10,503,unknowns,UNKNOWN,27.394,1.063,NO,,1,32.755,9.679
H14,G11,503,unknowns,UNKNOWN,27.096,0.766,NO,,1,35.959,1.1
H14,G12,503,unknowns,UNKNOWN,26.813,0.483,NO,,1,37.565,0.37
H14,G13,511,unknowns,UNKNOWN,26.868,0.538,,,1,29.096,115.981
H14,G14,511,unknowns,UNKNOWN,26.308,-0.022,,,1,28.95,128.019
H14,G15,511,unknowns,UNKNOWN,26.024,-0.306,,,1,28.322,196.075
H14,G16,519,unknowns,UNKNOWN,26.892,0.562,,,1,32.485,11.62
H14,G17,519,unknowns,UNKNOWN,26.007,-0.323,,,1,31.907,17.206
H14,G18,519,unknowns,UNKNOWN,26.514,0.184,,,1,32.243,13.698
H14,G19,527,unknowns,UNKNOWN,26.495,0.165,,,1,32.772,9.563
H14,G20,527,unknowns,UNKNOWN,26.345,0.014,,,1,32.492,11.565
H14,G21,527,unknowns,UNKNOWN,26.409,0.078,,,1,33.88,4.508
H14,H4,488,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,H5,488,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,H6,488,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,H7,496,unknowns,UNKNOWN,26.533,0.202,,,1,31.544,22.01
H14,H8,496,unknowns,UNKNOWN,26.448,0.118,,,1,31.906,17.217
H14,H9,496,unknowns,UNKNOWN,26.388,0.058,,,1,31.355,25.029
H14,H10,504,unknowns,UNKNOWN,27.374,1.044,,,1,30.877,34.622
H14,H11,504,unknowns,UNKNOWN,26.456,0.126,,,1,30.551,43.19
H14,H12,504,unknowns,UNKNOWN,26.333,0.003,,,1,30.317,50.62
H14,H13,512,unknowns,UNKNOWN,26.392,0.062,,,1,34.579,2.806
H14,H14,512,unknowns,UNKNOWN,26.445,0.114,,,1,34.31,3.368
H14,H15,512,unknowns,UNKNOWN,25.813,-0.517,,,1,33.575,5.544
H14,H16,520,unknowns,UNKNOWN,26.046,-0.284,,,1,33.894,4.468
H14,H17,520,unknowns,UNKNOWN,26.244,-0.086,,,1,34.861,2.316
H14,H18,520,unknowns,UNKNOWN,26.44,0.11,,,1,36.685,0.672
H14,H19,528,unknowns,UNKNOWN,26.318,-0.012,,,1,34.435,3.094
H14,H20,528,unknowns,UNKNOWN,26.197,-0.134,,,1,33.528,5.726
H14,H21,528,unknowns,UNKNOWN,26.329,-0.002,,,1,33.902,4.442
H14,I1,529,unknowns,UNKNOWN,26.24,-0.091,,,1,32.895,8.799
H14,I2,529,unknowns,UNKNOWN,26.474,0.143,,,1,31.992,16.238
H14,I3,529,unknowns,UNKNOWN,26.276,-0.054,,,1,32.671,10.243
H14,I4,537,unknowns,UNKNOWN,26.488,0.158,NO,,1,30.559,42.971
H14,I5,537,unknowns,UNKNOWN,27.676,1.345,NO,,1,31.413,24.06
H14,I6,537,unknowns,UNKNOWN,27.884,1.553,NO,,1,31.893,17.377
H14,I7,545,unknowns,UNKNOWN,26.386,0.056,,,1,37.446,0.401
H14,I8,545,unknowns,UNKNOWN,26.597,0.266,,,1,35.327,1.689
H14,I9,545,unknowns,UNKNOWN,26.302,-0.028,,,1,36.071,1.019
H14,I10,553,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,I11,553,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,I12,553,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,I13,561,unknowns,UNKNOWN,26.372,0.042,,,1,34.97,2.152
H14,I14,561,unknowns,UNKNOWN,26.268,-0.063,,,1,33.638,5.316
H14,I15,561,unknowns,UNKNOWN,26.345,0.015,,,1,36.707,0.662
H14,I16,569,unknowns,UNKNOWN,27.755,1.425,NO,,1,39.572,0.095
H14,I17,569,unknowns,UNKNOWN,33.144,6.814,NO,,1,43.09,0.009
H14,I18,569,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,J1,530,unknowns,UNKNOWN,26.338,0.008,,,1,34.302,3.385
H14,J2,530,unknowns,UNKNOWN,26.293,-0.037,,,1,34.661,2.654
H14,J3,530,unknowns,UNKNOWN,26.421,0.091,,,1,33.315,6.615
H14,J4,538,unknowns,UNKNOWN,27.258,0.928,NO,,1,36.833,0.607
H14,J5,538,unknowns,UNKNOWN,28.319,1.989,NO,,1,38.204,0.24
H14,J6,538,unknowns,UNKNOWN,29.145,2.814,NO,,1,40.194,0.062
H14,J7,546,unknowns,UNKNOWN,26.381,0.051,,,1,Undetermined,
H14,J8,546,unknowns,UNKNOWN,26.359,0.029,,,1,35.084,1.992
H14,J9,546,unknowns,UNKNOWN,26.508,0.178,,,1,Undetermined,
H14,J10,554,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,J11,554,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,J12,554,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,J13,562,unknowns,UNKNOWN,26.685,0.355,,,1,35.886,1.155
H14,J14,562,unknowns,UNKNOWN,25.896,-0.435,,,1,33.956,4.281
H14,J15,562,unknowns,UNKNOWN,26.919,0.589,,,1,34.029,4.076
H14,J16,570,unknowns,UNKNOWN,26.267,-0.063,,,1,35.026,2.071
H14,J17,570,unknowns,UNKNOWN,26.201,-0.129,,,1,33.57,5.566
H14,J18,570,unknowns,UNKNOWN,26.207,-0.123,,,1,33.145,7.426
H14,K1,531,unknowns,UNKNOWN,26.398,0.068,,,1,34.911,2.239
H14,K2,531,unknowns,UNKNOWN,26.182,-0.149,,,1,34.303,3.385
H14,K3,531,unknowns,UNKNOWN,26.336,0.006,,,1,34.804,2.408
H14,K4,539,unknowns,UNKNOWN,26.37,0.04,,,1,35.929,1.122
H14,K5,539,unknowns,UNKNOWN,26.509,0.179,,,1,35.533,1.468
H14,K6,539,unknowns,UNKNOWN,26.432,0.102,,,1,35.118,1.945
H14,K7,547,unknowns,UNKNOWN,26.377,0.047,,,1,33.313,6.626
H14,K8,547,unknowns,UNKNOWN,26.429,0.098,,,1,33.416,6.178
H14,K9,547,unknowns,UNKNOWN,26.913,0.582,,,1,34.112,3.852
H14,K10,555,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,K11,555,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
H14,K12,555,unknowns,UNKNOWN,45,18.67,NO,,1,Undetermined,
